StudyRegion,Year,Envelope,Species,d13C,d15N
QC,2011,11c356,Lynx_canadensis,-24.6,4.31
SSM,2009,k114,Lynx_canadensis,-24.6,4.84
BC,2012,12d874,Lynx_canadensis,-24.62,6.35
QC,2009,f134,Lynx_canadensis,-24.63,4.44
NWON,2009,h170,Lynx_canadensis,-24.65,4.72
BC,2009,a256,Lynx_canadensis,-24.65,6.42
NWON,2009,c255,Lynx_canadensis,-24.67,3.27
NWON,2012,12i012,Lynx_rufus,-24.67,5.8
NWON,2011,11b248,Lynx_canadensis,-24.69,3.53
NWON,2011,11b251,Lynx_canadensis,-24.71,3.95
QC,2009,a229,Lynx_canadensis,-24.71,4.01
QC,2009,f210,Lynx_canadensis,-24.71,4.27
QC,2009,c258,Lynx_canadensis,-24.71,4.8
QC,2009,a109,Lynx_canadensis,-24.71,6.12
NWON,2009,f394,Lynx_canadensis,-24.72,3.76
NWON,2009,a162,Lynx_canadensis,-24.73,2.78
QC,2009,a410,Lynx_canadensis,-24.73,4.34
BC,2012,12f120,Lynx_canadensis,-24.74,5.78
NWON,2011,11c037,Lynx_canadensis,-24.75,4.25
BC,2009,g207,Lynx_canadensis,-24.75,4.98
NWON,2009,a799,Lynx_canadensis,-24.76,3.01
QC,2009,c775,Lynx_rufus,-24.77,4.74
BC,2012,12a314,Lynx_canadensis,-24.77,5.38
NWON,2009,h302,Lynx_rufus,-24.78,3.45
NWON,2011,11c046,Lynx_canadensis,-24.78,3.85
QC,2009,f595,Lynx_rufus,-24.78,5.04
NWON,2010,s225,Lynx_rufus,-24.78,5.44
NWON,2011,11f035,Lynx_canadensis,-24.79,2.82
NWON,2009,h178,Lynx_canadensis,-24.79,3.27
SSM,2012,12d553,Lynx_canadensis,-24.79,3.99
BC,2012,12d368,Lynx_canadensis,-24.79,4.02
BC,2009,a259,Lynx_canadensis,-24.79,5.92
QC,2009,a177,Lynx_canadensis,-24.8,5.31
NWON,2009,a155,Lynx_canadensis,-24.81,3.25
NWON,2009,a669,Lynx_canadensis,-24.82,3.74
BC,2009,e20,Lynx_rufus,-24.82,4.53
NWON,2012,12h003,Lynx_rufus,-24.83,4.38
QC,2009,f209,Lynx_canadensis,-24.83,4.41
QC,2009,B466,Lynx_canadensis,-24.84,5.24
QC,2009,b101,Lynx_canadensis,-24.85,4.5
SSM,2011,11c334,Lynx_canadensis,-24.86,4.73
BC,2011,11a448,Lynx_canadensis,-24.86,5.27
QC,2009,a303,Lynx_canadensis,-24.87,3.97
NWON,2010,e594,Lynx_rufus,-24.87,5.04
BC,2009,a967,Lynx_rufus,-24.87,5.19
NWON,2011,11c040,Lynx_canadensis,-24.89,3.73
QC,2011,11f479,Lynx_canadensis,-24.9,4.82
QC,2011,11a382,Lynx_canadensis,-24.91,3.62
NWON,2011,11f323,Lynx_canadensis,-24.91,3.69
QC,2009,f137,Lynx_canadensis,-24.92,4.31
BC,2009,f562,Lynx_rufus,-24.92,4.59
QC,2009,F262,Lynx_canadensis,-24.93,4.83
NWON,2011,11b258,Lynx_canadensis,-24.94,2.97
QC,2009,b114,Lynx_canadensis,-24.94,4.57
NWON,2010,s234,Lynx_rufus,-24.94,4.81
SSM,2011,11c345,Lynx_canadensis,-24.95,4.59
NWON,2009,b367,Lynx_canadensis,-24.96,3.68
BC,2011,11a487,Lynx_canadensis,-24.96,4.89
NWON,2009,c495,Lynx_canadensis,-24.97,4.53
BC,2012,12c075,Lynx_canadensis,-24.98,4.45
QC,2009,a288,Lynx_canadensis,-24.98,5.16
QC,2011,11c303,Lynx_canadensis,-25,3.99
QC,2012,12i740,Lynx_rufus,-25,5.51
NWON,2009,g101,Lynx_canadensis,-25.02,3.08
SSM,2012,12h006,Lynx_rufus,-25.02,4.49
NWON,2011,11c328,Lynx_canadensis,-25.03,3.02
NWON,2009,b395,Lynx_canadensis,-25.04,3.77
NWON,2011,11c044,Lynx_canadensis,-25.04,4.15
NWON,2011,11a509,Lynx_canadensis,-25.07,4.19
SSM,2009,k117,Lynx_canadensis,-25.08,4.61
QC,2010,d251,Lynx_rufus,-25.08,5.24
NWON,2011,11b261,Lynx_canadensis,-25.09,2.27
NWON,2011,11a508,Lynx_canadensis,-25.09,3.39
NWON,2011,11f471,Lynx_canadensis,-25.09,4.02
QC,2009,g197,Lynx_canadensis,-25.09,5.08
BC,2009,b611,Lynx_rufus,-25.1,3.67
NWON,2011,11b253,Lynx_canadensis,-25.12,2.97
NWON,2011,11b252,Lynx_canadensis,-25.14,3.83
NWON,2009,f246,Lynx_canadensis,-25.16,3.3
QC,2009,c940,Lynx_rufus,-25.17,4.57
QC,2012,12i752,Lynx_rufus,-25.17,5.53
QC,2009,b223,Lynx_canadensis,-25.19,4.35
SSM,2011,11c293,Lynx_canadensis,-25.21,4.57
NWON,2011,11c468,Lynx_canadensis,-25.23,3.64
QC,2009,f105,Lynx_canadensis,-25.23,4.4
BC,2011,11f421,Lynx_canadensis,-25.23,4.92
BC,2011,11h065,Lynx_canadensis,-25.24,4.38
NWON,2009,c319,Lynx_canadensis,-25.25,3.7
NWON,2011,11h012,Lynx_canadensis,-25.27,3.29
BC,2011,11c455,Lynx_canadensis,-25.28,4.47
QC,2009,b346,Lynx_canadensis,-25.32,4.58
BC,2012,12a282,Lynx_canadensis,-25.32,5.49
QC,2012,12i743,Lynx_rufus,-25.32,5.63
NWON,2009,c520,Lynx_canadensis,-25.33,2.7
NWON,2010,e697,Lynx_rufus,-25.34,4.25
BC,2012,12a305,Lynx_canadensis,-25.35,5.41
QC,2012,12i753,Lynx_rufus,-25.38,5.31
BC,2012,12d102,Lynx_canadensis,-25.38,5.65
BC,2012,12c071,Lynx_canadensis,-25.42,5.06
NWON,2011,11c039,Lynx_canadensis,-25.47,2.75
QC,2010,d258,Lynx_rufus,-25.5,4.13
NWON,2009,k242,Lynx_rufus,-25.54,4.09
NWON,2012,12i019,Lynx_rufus,-25.56,4.35
NWON,2009,h205,Lynx_rufus,-25.62,4.73
BC,2012,12a308,Lynx_canadensis,-25.65,5.11
QC,2009,b739,Lynx_rufus,-25.73,4.74
QC,2009,a358,Lynx_canadensis,-25.79,4.15
QC,2009,c774,Lynx_rufus,-25.92,3.88
QC,2010,d259,Lynx_rufus,-25.92,4.56
BC,2009,b444,Lynx_canadensis,-25.93,4.82
QC,2009,b658,Lynx_rufus,-26.14,4.86
QC,2009,b681,Lynx_rufus,-26.15,5.06
